Gene,Provenance_tier,Status_for_selection,In_core_panel,In_missing_half,In_curated_pool,Functional_axis,Category,Objective_tags,Priority_hint,Why_relevant,Expression_note,References
Adam10,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adam11,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adam12,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adam15,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adam17,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adam18,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adam19,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adam21,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adam22,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adam23,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adam4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adam8,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adam9,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adamts1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts10,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adamts13,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts15,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts16,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts17,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adamts18,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts20,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adamts3,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adamts4,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adamts6,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,Metalloprotease / ECM,,,,,,
Adamts8,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Metalloprotease / ECM,,,,,,
Adgra2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Adgra3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Adgrb3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Adgrf5,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Other / unclassified,,,,,,
Adgrl1,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Teneurin-latrophilin,,,,,,
Adgrl2,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Teneurin-latrophilin,,,,,,
Adgrl3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,Teneurin-latrophilin,,,,,,
Agmat,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Other / unclassified,,,,,,
Alcam,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Aldoc,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Amigo1,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Amigo2,2. Missing-half CSM (re-add / reorder candidate),Evaluate — recover candidate,No,Yes,No,IgSF / LRR adhesion,,,,,,
Amigo3,1. Core panel (kept / fixed),Fixed — in current panel,CSM panel 2,No,No,IgSF / LRR adhesion,,,,,,
Arpp21,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Astn2,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Other / unclassified,,,,,,
Atp2b4,1. Core panel (kept / fixed),Fixed — in current panel,extra genes,No,No,Ion channel / excitability,,,,,,
Basp1,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon growth,Cytoskeleton / growth effectors,"C,E",Low,Intracellular axon-growth machinery; mechanistically central to projection but often HIGH expression.,HIGH — crowding risk,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Bcl11b,1. Core panel (kept / fixed),Fixed — in current panel,V1,No,No,Other / unclassified,,,,,,
Bcl6,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",Low,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability.,LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Bdnf,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Activity-dependent,Neurotrophin / activity reporters,"C,E",Low,Report intrinsic/activity state that can shape projections; NOTE these track STATE not stable identity and can spike (induction) — use with care. [Low; activity-dependent],Low + inducible,Bean 2007; cell-type intrinsic-excitability literature
Bhlhe22,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Regulons / TFs,Projection-class & areal TFs,"A,C,E",High,Master regulators of projection-neuron class identity and areal patterning; SCENIC regulon drivers; low copy = crowding-safe but check detectability. [(Bhlhb5) area/projection],LOW (TF) — detection-floor risk; good for crowding.,Molyneaux 2007; Greig 2013; Lodato & Arlotta 2015
Boc,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Axon guidance,Other guidance / tract formation,"C,E",Med,"Adhesion-type guidance, fasciculation and tract formation (L1-CAM family, Wnt-PCP).",Moderate; L1cam/Chl1 can be high.,GO:0007411; Kolodkin & Tessier-Lavigne 2011
Cacna1a,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,Moderate-high,Bean 2007; cell-type intrinsic-excitability literature
Cacna1c,3. Curated novel candidate,Evaluate — novel candidate,No,No,Yes,Intrinsic excitability,Voltage-gated channels,"C,E",Med,Set firing phenotype that co-varies with projection class (PT bursting vs IT regular); indirect projection link via activity.,"Moderate; some (Kcnma1, Cacna1a) higher — check.",Bean 2007; cell-type intrinsic-excitability literature
